Style,StyleID,Map,BJCP Mapping
Specialty Fruit Beer,146,,FRUIT BEER
Specialty IPA: Belgian IPA,147,,IPA
Specialty IPA: Black IPA,148,,IPA
Specialty IPA: Brown IPA,149,,IPA
Specialty IPA: Red IPA,150,,IPA
Specialty IPA: Rye IPA,151,,IPA
Specialty IPA: White IPA,152,,IPA
Specialty Smoked Beer,153,,SMOKED BEER
Specialty Wood-Aged Beer,154,,WOOD BEER
Spice Herb or Vegetable Beer,155,,SPICED BEER
Standard American Lager,156,,STANDARD AMERICAN BEER
Standard/Ordinary Bitter,157,Pale Ale,BRITISH BITTER
Straight (Unblended) Lambic,158,,EUROPEAN SOUR ALE
Strong Bitter,159,Pale Ale,BRITISH BITTER
Strong Scotch Ale,160,,
Sweet Mead,161,None,
Sweet Stout,162,,DARK BRITISH BEER
Traditional Bock,163,,
Traditional Perry,164,None,
Trappist Single,165,,TRAPPIST ALE
Tropical Stout,166,,DARK BRITISH BEER
Vienna Lager,167,,AMBER BITTER EUROPEAN BEER
Wee Heavy,168,,STRONG BRITISH ALE
Weissbier,169,,GERMAN WHEAT BEER
Weizen/Weissbier,170,,GERMAN WHEAT BEER
Weizenbock,171,,GERMAN WHEAT BEER
Wheatwine,172,None,STRONG AMERICAN ALE
Wild Specialty Beer,173,,AMERICAN WILD ALE
Winter Seasonal Beer,174,,SPICED BEER
Witbier,175,,BELGIAN ALE
Wood-Aged Beer,176,,WOOD BEER
